user_id	auth_id
421	34
34	25
197	35
401	44
489	18
111	44
86	13
51	20
192	28
98	48
192	35
426	18
26	21
361	16
141	6
162	47
93	44
351	38
416	34
393	25
163	3
261	16
377	1
433	18
141	5
355	7
236	26
43	26
304	30
209	26
463	13
276	34
8	39
276	12
404	33
158	39
217	34
3	34
60	47
176	21
114	27
456	18
76	28
383	15
200	40
436	46
18	25
121	8
455	9
397	24
444	47
165	29
276	32
189	1
440	5
109	37
283	47
423	14
327	49
306	31
407	45
207	46
32	20
432	44
209	28
482	24
141	3
71	35
194	24
59	14
296	49
64	5
303	27
345	37
67	27
38	16
496	6
439	48
199	46
159	41
24	30
339	4
16	49
309	11
23	34
287	45
235	27
270	40
291	20
143	31
399	12
111	47
119	31
245	32
23	15
36	15
50	41
140	47
177	29
95	36
66	40
412	39
48	11
308	25
79	33
174	27
449	37
420	41
439	25
473	46
338	12
412	36
127	34
321	46
445	33
13	6
343	41
484	43
151	33
447	4
81	40
230	5
417	37
219	35
292	43
278	42
76	4
85	30
11	48
398	2
275	20
458	30
311	48
346	36
172	35
150	28
243	40
75	38
322	35
388	50
389	27
499	50
359	13
323	31
425	49
93	7
481	11
432	17
478	14
388	47
65	14
368	19
389	50
378	23
69	49
415	13
320	28
192	2
497	17
23	4
363	40
201	26
34	32
372	50
377	3
124	11
151	49
177	11
6	18
391	19
247	20
131	3
212	36
152	37
414	10
127	35
131	44
251	50
396	17
233	18
490	34
329	44
161	34
402	4
156	25
325	47
263	21
490	42
367	33
12	8
349	37
342	2
59	31
5	2
357	12
456	36
245	22
181	20
449	5
381	20
397	14
363	32
262	13
343	2
79	38
45	40
2	22
384	27
394	12
76	27
343	24
287	6
61	35
485	2
23	30
174	46
451	17
440	38
210	14
300	32
58	50
268	40
346	25
246	22
100	42
473	40
85	12
134	47
133	35
456	17
161	9
231	44
40	36
114	43
410	33
456	28
10	46
244	40
352	46
140	48
387	3
185	6
366	36
253	18
204	41
279	11
290	39
326	25
439	41
175	30
355	45
208	4
21	43
52	48
498	38
357	7
429	40
185	30
418	14
403	21
421	33
94	17
497	23
1	42
314	23
193	25
371	32
207	24
404	50
298	19
252	13
262	35
206	21
383	38
311	18
276	31
123	2
371	21
52	42
211	26
295	46
199	31
429	29
290	29
79	6
21	50
167	23
12	7
57	32
119	38
69	46
190	15
27	21
241	18
297	23
249	2
289	1
492	9
107	6
44	5
90	16
306	46
296	28
458	22
326	1
493	34
130	5
318	44
42	8
172	42
432	11
474	44
458	33
13	34
47	27
322	20
472	12
272	48
68	42
109	43
55	20
499	18
177	47
411	13
238	31
476	32
226	48
388	41
352	45
67	49
75	35
86	11
268	23
271	13
247	7
31	36
405	11
101	48
341	44
229	16
72	47
377	21
267	9
332	3
376	14
202	16
403	15
316	41
44	42
104	37
153	41
276	39
435	8
387	41
158	11
484	32
68	6
213	23
202	42
469	42
452	30
331	29
335	18
455	19
375	13
223	44
299	47
137	38
278	21
190	31
171	27
356	48
196	11
129	47
386	29
496	31
219	4
366	38
428	8
231	18
439	31
478	5
171	22
194	41
378	26
5	39
216	14
309	49
10	1
113	14
301	19
242	5
88	33
477	43
59	2
73	22
322	23
180	10
218	23
406	22
481	42
185	24
10	24
164	1
287	13
447	44
312	3
30	4
135	40
482	34
72	23
120	2
56	9
46	14
283	49
490	37
293	44
410	48
93	12
220	1
342	36
222	46
237	14
253	34
8	6
363	18
463	14
44	16
87	32
346	22
255	22
239	29
176	27
16	35
377	4
372	20
280	29
331	6
205	30
28	29
406	36
286	29
304	2
342	22
301	42
279	3
239	49
65	2
85	15
313	42
174	22
62	2
173	9
453	34
457	6
50	10
275	44
177	38
168	27
396	43
235	24
259	47
28	31
328	36
144	33
167	20
455	35
144	44
294	37
252	1
70	8
32	42
395	26
348	22
306	1
492	10
436	21
394	43
267	28
358	16
407	27
437	34
169	11
294	7
500	8
453	49
104	32
19	6
16	5
160	35
309	25
459	12
182	36
126	20
183	47
89	11
494	8
51	42
17	39
384	29
391	8
243	21
58	25
254	39
271	36
451	24
262	6
280	44
336	6
472	38
145	44
408	26
496	35
331	41
7	40
106	30
74	26
16	17
122	15
2	32
334	17
205	37
248	24
151	21
320	7
48	24
459	30
329	43
385	40
339	21
5	17
95	14
384	38
495	26
319	5
45	13
150	1
271	12
493	12
136	21
161	47
137	20
287	16
22	34
463	11
325	23
46	37
402	46
31	7
277	20
477	44
280	10
487	19
78	20
83	49
186	15
214	6
477	37
475	23
334	10
383	13
12	11
423	13
384	45
417	19
19	1
264	6
152	1
498	4
94	7
156	44
437	3
488	28
482	42
20	44
468	40
134	38
276	36
475	38
470	34
236	47
153	38
57	8
427	46
439	46
136	25
265	15
309	13
53	39
233	27
349	34
473	49
170	37
51	35
192	19
472	34
102	41
203	43
56	16
28	4
2	48
435	24
256	50
110	12
185	40
449	10
22	18
54	47
232	28
368	14
481	31
17	41
26	9
49	36
51	26
274	24
27	10
344	44
366	2
381	40
139	37
303	49
44	1
275	32
447	45
431	23
470	49
390	16
7	13
343	16
339	50
303	4
199	2
440	49
5	41
322	13
3	38
397	36
422	7
284	43
274	40
424	8
196	20
38	17
277	47
307	39
447	27
340	1
127	44
232	25
344	11
432	3
120	48
297	1
19	26
307	2
254	24
178	9
42	25
428	29
123	27
213	50
161	50
451	6
115	10
72	3
26	7
370	34
475	37
68	37
45	47
132	45
393	47
302	29
90	29
371	50
250	23
82	23
70	29
327	45
159	26
414	39
15	21
382	25
436	41
259	43
463	36
265	14
368	23
80	40
294	33
76	34
15	31
172	5
366	33
440	19
474	37
31	21
468	46
313	38
44	3
169	3
117	20
172	46
427	25
464	46
54	26
340	5
130	46
348	48
375	16
449	24
197	32
352	33
185	42
483	38
486	40
94	10
229	28
273	13
272	42
388	24
387	26
236	42
295	43
159	43
58	17
65	48
198	35
195	45
109	40
139	38
217	48
186	33
452	14
457	30
125	18
77	27
488	18
119	9
347	11
160	1
173	32
160	17
257	42
286	7
330	44
457	28
28	25
381	3
390	14
305	45
122	40
292	12
133	30
408	43
60	33
222	13
298	40
382	19
106	38
34	45
194	19
492	2
303	16
275	22
92	22
139	42
109	19
115	22
424	38
287	30
126	42
323	22
216	5
281	28
88	11
423	30
467	10
323	27
